,Used states,Spearman Correlation to full data,Kendall's Tau
0,random_states_0,"SpearmanrResult(correlation=0.9261083743842365, pvalue=1.635551897509025e-12)","KendalltauResult(correlation=0.783068783068783, pvalue=1.571399129461326e-11)"
1,random_states_1,"SpearmanrResult(correlation=0.7974822112753147, pvalue=3.755999949427408e-07)","KendalltauResult(correlation=0.6349206349206349, pvalue=3.3058959929584e-07)"
2,random_states_2,"SpearmanrResult(correlation=0.9419813902572524, pvalue=7.724098641871719e-14)","KendalltauResult(correlation=0.8095238095238094, pvalue=1.37579442637616e-12)"
3,random_states_3,"SpearmanrResult(correlation=0.8423645320197045, pvalue=1.896771020205653e-08)","KendalltauResult(correlation=0.6455026455026455, pvalue=1.8880103536860118e-07)"
4,random_states_4,"SpearmanrResult(correlation=0.8746579091406678, pvalue=1.1669110560877575e-09)","KendalltauResult(correlation=0.6984126984126984, pvalue=8.524019483444758e-09)"
5,random_states_5,"SpearmanrResult(correlation=0.8045977011494253, pvalue=2.4639504825935674e-07)","KendalltauResult(correlation=0.6084656084656085, pvalue=1.2435135984533958e-06)"
6,random_states_6,"SpearmanrResult(correlation=0.793103448275862, pvalue=4.829144464839871e-07)","KendalltauResult(correlation=0.619047619047619, pvalue=7.411934423656543e-07)"
7,random_states_7,"SpearmanrResult(correlation=0.9091406677613574, pvalue=2.178430822576522e-11)","KendalltauResult(correlation=0.7513227513227513, pvalue=2.105582860397691e-10)"
8,random_states_8,"SpearmanrResult(correlation=0.8866995073891626, pvalue=3.369181739661312e-10)","KendalltauResult(correlation=0.708994708994709, pvalue=4.290658487735679e-09)"
9,random_states_9,"SpearmanrResult(correlation=0.8691844553913519, pvalue=1.9693523982374005e-09)","KendalltauResult(correlation=0.708994708994709, pvalue=4.290658487735679e-09)"
10,highlight_states_thres10/,"SpearmanrResult(correlation=0.6940339354132458, pvalue=4.199757157666894e-05)","KendalltauResult(correlation=0.49735449735449727, pvalue=0.00012167840449705953)"
11,highlight_states_thres20/,"SpearmanrResult(correlation=0.6491516146688561, pvalue=0.0001860306670654904)","KendalltauResult(correlation=0.455026455026455, pvalue=0.0004962376267921555)"
12,highlight_states_thres30/,"SpearmanrResult(correlation=0.9469074986316366, pvalue=2.5068021840403755e-14)","KendalltauResult(correlation=0.8095238095238094, pvalue=1.37579442637616e-12)"
13,highlight_states_thres40/,"SpearmanrResult(correlation=0.779967159277504, pvalue=9.917276807427418e-07)","KendalltauResult(correlation=0.582010582010582, pvalue=4.2359384790135296e-06)"
14,highlight_states_pos_neg_thres10/,"SpearmanrResult(correlation=0.8527640941434045, pvalue=8.310768290367599e-09)","KendalltauResult(correlation=0.6455026455026455, pvalue=1.8880103536860118e-07)"
15,highlight_states_pos_neg_thres40/,"SpearmanrResult(correlation=0.8275862068965517, pvalue=5.5645520567641327e-08)","KendalltauResult(correlation=0.6137566137566137, pvalue=9.61987383007221e-07)"
16,highlight_states_diverse_importance/,"SpearmanrResult(correlation=0.8839627805145046, pvalue=4.5217451302895294e-10)","KendalltauResult(correlation=0.6984126984126984, pvalue=8.524019483444758e-09)"
17,highlight_states_thres25/,"SpearmanrResult(correlation=0.7936507936507936, pvalue=4.681326751246827e-07)","KendalltauResult(correlation=0.582010582010582, pvalue=4.2359384790135296e-06)"
18,highlight_states_thres28/,"SpearmanrResult(correlation=0.8615216201423097, pvalue=3.944775004774041e-09)","KendalltauResult(correlation=0.6772486772486772, pvalue=3.1355976093657504e-08)"
19,highlight_states_thres32/,"SpearmanrResult(correlation=0.8839627805145046, pvalue=4.5217451302895294e-10)","KendalltauResult(correlation=0.708994708994709, pvalue=4.290658487735679e-09)"
20,highlight_states_thres33/,"SpearmanrResult(correlation=0.8877941981390256, pvalue=2.9887922799619574e-10)","KendalltauResult(correlation=0.693121693121693, pvalue=1.1906382616720222e-08)"
21,highlight_states_thres35/,"SpearmanrResult(correlation=0.840175150519978, pvalue=2.2397505648403477e-08)","KendalltauResult(correlation=0.6507936507936508, pvalue=1.4170057285420757e-07)"
