,Used states,Spearman Correlation to full data,Kendall's Tau
0,random_states_0,"SpearmanrResult(correlation=0.9442999951575368, pvalue=4.606210929919316e-14)","KendalltauResult(correlation=0.8026497106706395, pvalue=2.132297906577068e-09)"
1,random_states_1,"SpearmanrResult(correlation=0.7020665181388643, pvalue=3.128689266761459e-05)","KendalltauResult(correlation=0.5271527802754365, pvalue=8.413176187767646e-05)"
2,random_states_2,"SpearmanrResult(correlation=0.9626385747736397, pvalue=2.8446231680073315e-16)","KendalltauResult(correlation=0.8662259253772249, pvalue=1.0357217948524045e-10)"
3,random_states_3,"SpearmanrResult(correlation=-0.6667579096242782, pvalue=0.00010686586829181136)","KendalltauResult(correlation=-0.41059638664669684, pvalue=0.002192338251780953)"
4,random_states_4,"SpearmanrResult(correlation=0.9147392996569531, pvalue=9.843810539045196e-12)","KendalltauResult(correlation=0.7443715138562698, pvalue=2.8134574414350065e-08)"
5,random_states_5,"SpearmanrResult(correlation=0.9828931253944101, pvalue=1.2397636316204582e-20)","KendalltauResult(correlation=0.8980140327305175, pvalue=2.1018459313064602e-11)"
6,random_states_6,"SpearmanrResult(correlation=0.9300670676942928, pvalue=8.178584672750727e-13)","KendalltauResult(correlation=0.8185437643472858, pvalue=1.021869807482554e-09)"
7,random_states_7,"SpearmanrResult(correlation=0.9738606906581205, pvalue=2.916617576134174e-18)","KendalltauResult(correlation=0.8874179969460867, pvalue=3.5986512120716605e-11)"
8,random_states_8,"SpearmanrResult(correlation=0.9144655895134292, pvalue=1.0246391766809457e-11)","KendalltauResult(correlation=0.7602655675329161, pvalue=1.4177756204775902e-08)"
9,random_states_9,"SpearmanrResult(correlation=0.8687559955449339, pvalue=2.049677680119527e-09)","KendalltauResult(correlation=0.6860933170418998, pvalue=3.088949817027094e-07)"
10,highlight_states_thres10/,"SpearmanrResult(correlation=0.7943068365064266, pvalue=4.5095545715665297e-07)","KendalltauResult(correlation=0.617219084443099, pvalue=4.141187115533921e-06)"
11,highlight_states_thres20/,"SpearmanrResult(correlation=0.8323525464562521, pvalue=3.977469655797984e-08)","KendalltauResult(correlation=0.6596032275808227, pvalue=8.639678213986331e-07)"
12,highlight_states_thres30/,"SpearmanrResult(correlation=0.9634597052042114, pvalue=2.140800378397689e-16)","KendalltauResult(correlation=0.8503318717005784, pvalue=2.252152409449512e-10)"
13,highlight_states_thres40/,"SpearmanrResult(correlation=0.9191186619533359, pvalue=5.086872862316446e-12)","KendalltauResult(correlation=0.7708616033173469, pvalue=8.910130162416735e-09)"
14,highlight_states_pos_neg_thres10/,"SpearmanrResult(correlation=-0.7171205760326802, pvalue=1.7549454488763428e-05)","KendalltauResult(correlation=-0.48476863713771307, pvalue=0.00029901845960543424)"
15,highlight_states_pos_neg_thres40/,"SpearmanrResult(correlation=-0.08156562277012927, pvalue=0.6798882575108138)","KendalltauResult(correlation=-0.055629187868262146, pvalue=0.6781654003953868)"
16,highlight_states_diverse_importance/,"SpearmanrResult(correlation=0.9292459372637211, pvalue=9.47400749977203e-13)","KendalltauResult(correlation=0.7867556569939932, pvalue=4.388764842247485e-09)"
17,highlight_states_thres25/,"SpearmanrResult(correlation=0.8342685174609196, pvalue=3.465048971808209e-08)","KendalltauResult(correlation=0.6384111560119609, pvalue=1.914456447710806e-06)"
18,highlight_states_thres28/,"SpearmanrResult(correlation=0.9169289808051444, pvalue=7.108399598396892e-12)","KendalltauResult(correlation=0.7390734959640543, pvalue=3.524776234379031e-08)"
19,highlight_states_thres32/,"SpearmanrResult(correlation=0.9254139952543862, pvalue=1.839651294852999e-12)","KendalltauResult(correlation=0.7708616033173469, pvalue=8.910130162416735e-09)"
20,highlight_states_thres33/,"SpearmanrResult(correlation=0.8027918509556683, pvalue=2.746587435026565e-07)","KendalltauResult(correlation=0.6225171023353145, pvalue=3.4224356111314986e-06)"
21,highlight_states_thres35/,"SpearmanrResult(correlation=0.739291097658118, pvalue=6.9862270152356035e-06)","KendalltauResult(correlation=0.5218547623832211, pvalue=9.909624132779397e-05)"
